t,s,kappa,tau
0.350000,4.21713666,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,0,nan,nan
0.400000,5.099593214,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,0,nan,nan
0.450000,6.004616402,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,0,nan,nan
0.500000,6.926986391,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,0,nan,nan
0.550000,7.863373965,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,0,nan,nan
0.600000,8.811450256,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,0,nan,nan
0.650000,9.769450706,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,0,nan,nan
0.700000,10.73595685,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
