t,theta_wrapped,theta_unwrapped,gap,d_cath
12.785000,4.5378404992,4.5378404992,-6.327570e-07,3.632288e-07
12.790000,4.5378404952,4.5378404952,-6.244175e-07,3.661308e-07
12.795000,4.5378404912,4.5378404912,-6.291585e-07,3.650205e-07
12.800000,4.5378404872,4.5378404872,-6.340356e-07,3.639773e-07
12.805000,4.5378404831,4.5378404831,-6.256828e-07,3.629473e-07
12.810000,4.5378404791,4.5378404791,-6.304068e-07,3.619064e-07
12.815000,4.5378404751,4.5378404751,-6.221067e-07,3.647713e-07
12.820000,4.5378404711,4.5378404711,-6.267902e-07,3.636582e-07
12.825000,4.5378404671,4.5378404671,-6.316058e-07,3.626105e-07
12.830000,4.5378404631,4.5378404631,-6.232953e-07,3.654642e-07
12.835000,4.5378404590,4.5378404590,-6.279622e-07,3.643443e-07
12.840000,4.5378404550,4.5378404550,-6.327600e-07,3.632889e-07
12.845000,4.5378404510,4.5378404510,-6.244394e-07,3.661315e-07
12.850000,4.5378404470,4.5378404470,-6.290899e-07,3.650052e-07
12.855000,4.5378404430,4.5378404430,-6.338700e-07,3.639425e-07
12.860000,4.5378404390,4.5378404390,-6.255404e-07,3.628936e-07
12.865000,4.5378404350,4.5378404350,-6.301746e-07,3.618342e-07
12.870000,4.5378404310,4.5378404310,-6.218997e-07,3.646413e-07
12.875000,4.5378404270,4.5378404270,-6.264949e-07,3.635144e-07
12.880000,4.5378404231,4.5378404231,-6.312161e-07,3.624496e-07
12.885000,4.5378404191,4.5378404191,-6.229347e-07,3.652461e-07
12.890000,4.5378404151,4.5378404151,-6.275141e-07,3.641136e-07
12.895000,4.5378404111,4.5378404111,-6.322183e-07,3.630424e-07
12.900000,4.5378404071,4.5378404071,-6.239306e-07,3.658286e-07
12.905000,4.5378404031,4.5378404031,-6.284945e-07,3.646909e-07
12.910000,4.5378403992,4.5378403992,-6.331819e-07,3.636136e-07
12.915000,4.5378403952,4.5378403952,-6.248889e-07,3.663895e-07
12.920000,4.5378403912,4.5378403912,-6.294373e-07,3.652468e-07
12.925000,4.5378403873,4.5378403873,-6.341081e-07,3.641638e-07
12.930000,4.5378403833,4.5378403833,-6.258107e-07,3.630952e-07
12.935000,4.5378403793,4.5378403793,-6.303439e-07,3.620166e-07
12.940000,4.5378403754,4.5378403754,-6.221032e-07,3.647589e-07
12.945000,4.5378403714,4.5378403714,-6.265989e-07,3.636179e-07
12.950000,4.5378403674,4.5378403674,-6.312137e-07,3.625353e-07
12.955000,4.5378403635,4.5378403635,-6.229707e-07,3.652677e-07
12.960000,4.5378403595,4.5378403595,-6.274516e-07,3.641225e-07
12.965000,4.5378403556,4.5378403556,-6.320505e-07,3.630351e-07
12.970000,4.5378403516,4.5378403516,-6.238053e-07,3.657578e-07
12.975000,4.5378403477,4.5378403477,-6.282716e-07,3.646086e-07
12.980000,4.5378403437,4.5378403437,-6.328547e-07,3.635165e-07
12.985000,4.5378403398,4.5378403398,-6.246081e-07,3.662297e-07
12.990000,4.5378403359,4.5378403359,-6.290599e-07,3.650768e-07
12.995000,4.5378403319,4.5378403319,-6.336275e-07,3.639803e-07
13.000000,4.5378403280,4.5378403280,-6.253802e-07,3.666840e-07
13.005000,4.5378403241,4.5378403241,-6.298178e-07,3.655276e-07
13.010000,4.5378403201,4.5378403201,-6.343700e-07,3.644270e-07
13.015000,4.5378403162,4.5378403162,-6.261228e-07,3.633413e-07
13.020000,4.5378403123,4.5378403123,-6.305462e-07,3.622463e-07
13.025000,4.5378403084,4.5378403084,-6.223577e-07,3.649184e-07
13.030000,4.5378403044,4.5378403044,-6.267454e-07,3.637660e-07
13.035000,4.5378403005,4.5378403005,-6.312446e-07,3.626684e-07
13.040000,4.5378402966,4.5378402966,-6.230578e-07,3.653314e-07
13.045000,4.5378402927,4.5378402927,-6.274318e-07,3.641762e-07
13.050000,4.5378402888,4.5378402888,-6.319162e-07,3.630751e-07
13.055000,4.5378402849,4.5378402849,-6.237313e-07,3.657292e-07
13.060000,4.5378402810,4.5378402810,-6.280917e-07,3.645714e-07
13.065000,4.5378402770,4.5378402770,-6.325615e-07,3.634670e-07
13.070000,4.5378402731,4.5378402731,-6.243791e-07,3.661124e-07
13.075000,4.5378402692,4.5378402692,-6.287260e-07,3.649520e-07
13.080000,4.5378402653,4.5378402653,-6.331814e-07,3.638447e-07
13.085000,4.5378402614,4.5378402614,-6.250021e-07,3.664813e-07
13.090000,4.5378402576,4.5378402576,-6.293357e-07,3.653187e-07
13.095000,4.5378402537,4.5378402537,-6.337768e-07,3.642086e-07
13.100000,4.5378402498,4.5378402498,-6.256012e-07,3.668367e-07
13.105000,4.5378402459,4.5378402459,-6.299217e-07,3.656720e-07
13.110000,4.5378402420,4.5378402420,-6.343487e-07,3.645593e-07
13.115000,4.5378402381,4.5378402381,-6.261773e-07,3.671789e-07
13.120000,4.5378402342,4.5378402342,-6.304848e-07,3.660123e-07
